Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_CD3TCR	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_EMTstroma	Geneset_Javelin	Geneset_HALLMARK
3866_at	3866	LOC3866	KRT15	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4016_at	4016	LOC4016	LOXL1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23764_at	23764	LOC23764	MAFF	Myeloid	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
4601_at	4601	LOC4601	MXI1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8996_at	8996	LOC8996	NOL3	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
2908_at	2908	LOC2908	NR3C1	Multiple	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
23363_at	23363	LOC23363	OBSL1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
169611_at	169611	LOC169611	OLFML2A	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5033_at	5033	LOC5033	P4HA1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
8974_at	8974	LOC8974	P4HA2	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5066_at	5066	LOC5066	PAM	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5155_at	5155	LOC5155	PDGFB	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5209_at	5209	LOC5209	PFKFB3	Monocyte	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
80055_at	80055	LOC80055	PGAP1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5230_at	5230	LOC5230	PGK1	Multiple	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5236_at	5236	LOC5236	PGM1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
284119_at	284119	LOC284119	PTRF	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
55278_at	55278	LOC55278	QRSL1	B Cell	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
5768_at	5768	LOC5768	QSOX1	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
3516_at	3516	LOC3516	RBPJ	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6038_at	6038	LOC6038	RNASE4	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
58528_at	58528	LOC58528	RRAGD	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6275_at	6275	LOC6275	S100A4	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
6338_at	6338	LOC6338	SCNN1B	NA	NA	91_DN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
